Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L,Modelled_s0,Is_Seed_Node,Residual,Abs_Error,Squared_Error
6_C_2_Day_1_HT,6,CPC,C,Dutch_Canal,Day_1,Neap,HT,0.0,0.45,0.01,1.5e-05,0.10165,0.095,0.095,True,0.0,0.0,0.0
6_C_2_Day_1_LT,6,CPC,C,Dutch_Canal,Day_1,Neap,LT,0.0,0.4,-0.009,1.2e-05,0.13375,0.125,0.125,True,0.0,0.0,0.0
6_D_2_Day_1_HT,6,CPC,D,C,Day_1,Neap,HT,15.72,0.45,0.0096,1.5e-05,0.0978,0.0914,0.1001086242458029,False,-0.008708624245802904,0.008708624245802904,7.584013625458619e-05
6_D_2_Day_1_LT,6,CPC,D,C,Day_1,Neap,LT,15.72,0.4,-0.0089,1.2e-05,0.12926,0.1208,0.13123655866201916,False,-0.01043655866201916,0.01043655866201916,0.00010892175670576716
6_D_2_Day_2_HT,6,CPC,D,C,Day_2,Spring,HT,15.72,0.45,0.0105,1.6e-05,0.11749,0.1098,0.11427520873343683,False,-0.0044752087334368335,0.0044752087334368335,2.0027493207829307e-05
6_D_2_Day_2_LT,6,CPC,D,C,Day_2,Spring,LT,15.72,0.4,-0.0093,1.3e-05,0.03841,0.0359,0.038352861228836105,False,-0.0024528612288361035,0.0024528612288361035,6.01652820792736e-06
6_D_2_Day_3_HT,6,CPC,D,C,Day_3,Spring,HT,15.72,0.45,0.0107,1.6e-05,0.14541,0.1359,0.14031959218141526,False,-0.004419592181415272,0.004419592181415272,1.9532795050027e-05
6_D_2_Day_3_LT,6,CPC,D,C,Day_3,Spring,LT,15.72,0.4,-0.0091,1.2e-05,0.05275,0.0493,0.051218745528963,False,-0.0019187455289630048,0.0019187455289630048,3.6815844049155213e-06
6_E_2_Day_1_HT,6,CPC,E,D,Day_1,Neap,HT,53.25,0.53,0.0093,1.7e-05,0.03971,0.0361,0.1295708400562941,False,-0.09347084005629411,0.09347084005629411,0.008736797940829315
6_E_2_Day_1_LT,6,CPC,E,D,Day_1,Neap,LT,53.25,0.47,-0.0089,1.4e-05,0.10054,0.0914,0.22103637598252346,False,-0.12963637598252348,0.12963637598252348,0.01680558997788219
6_E_2_Day_2_HT,6,CPC,E,D,Day_2,Spring,HT,53.25,0.53,0.0088,1.6e-05,0.06369,0.0579,0.16354631191664257,False,-0.10564631191664256,0.10564631191664256,0.011161143221588532
6_E_2_Day_2_LT,6,CPC,E,D,Day_2,Spring,LT,53.25,0.47,-0.0112,1.8e-05,0.06985,0.0635,0.09058237804192157,False,-0.027082378041921568,0.027082378041921568,0.0007334552004055555
6_E_2_Day_3_HT,6,CPC,E,D,Day_3,Spring,HT,53.25,0.53,0.0098,1.8e-05,0.06578,0.0598,0.1871899659005164,False,-0.1273899659005164,0.1273899659005164,0.016228203412134733
6_E_2_Day_3_LT,6,CPC,E,D,Day_3,Spring,LT,53.25,0.47,-0.0121,1.9e-05,0.05764,0.0524,0.08892060967818806,False,-0.03652060967818806,0.03652060967818806,0.0013337549312665631
6_F_2_Day_1_HT,6,CPC,F,D,Day_1,Neap,HT,51.81,0.61,0.0133,2.8e-05,0.03863,0.0361,0.10347499345797012,False,-0.06737499345797013,0.06737499345797013,0.004539389743461518
6_F_2_Day_1_LT,6,CPC,F,D,Day_1,Neap,LT,51.81,0.52,-0.0095,1.7e-05,0.0978,0.0914,0.14488828185754238,False,-0.05348828185754238,0.05348828185754238,0.0028609962960718977
6_F_2_Day_2_HT,6,CPC,F,D,Day_2,Spring,HT,51.81,0.61,0.013,2.7e-05,0.08817,0.0824,0.12123146248932118,False,-0.03883146248932118,0.03883146248932118,0.0015078824790595578
6_F_2_Day_2_LT,6,CPC,F,D,Day_2,Spring,LT,51.81,0.52,-0.009,1.6e-05,0.08357,0.0781,0.049963019482855996,False,0.028136980517144007,0.028136980517144007,0.0007916896726221414
6_F_2_Day_3_HT,6,CPC,F,D,Day_3,Spring,HT,51.81,0.61,0.0102,2.1e-05,0.0077,0.0072,0.14102955595676658,False,-0.13382955595676657,0.13382955595676657,0.017910350047585316
6_F_2_Day_3_LT,6,CPC,F,D,Day_3,Spring,LT,51.81,0.52,-0.0108,1.9e-05,0.05607,0.0524,0.05708751990362716,False,-0.00468751990362716,0.00468751990362716,2.1972842846900782e-05
6_F_across_2_Day_1_HT,6,CPC,F_across,D,Day_1,Neap,HT,49.82,0.93,0.016,5.1e-05,0.05607,0.0524,0.10251916160657226,False,-0.05011916160657226,0.05011916160657226,0.002511930360145707
6_F_across_2_Day_1_LT,6,CPC,F_across,D,Day_1,Neap,LT,49.82,0.87,-0.0161,4.8e-05,0.05275,0.0493,0.13364214750954623,False,-0.08434214750954623,0.08434214750954623,0.007113597846522056
6_F_across_2_Day_2_HT,6,CPC,F_across,D,Day_2,Spring,HT,49.82,0.93,0.0169,5.3e-05,0.05307,0.0496,0.11612099903052549,False,-0.0665209990305255,0.0665209990305255,0.004425043312019174
6_F_across_2_Day_2_LT,6,CPC,F_across,D,Day_2,Spring,LT,49.82,0.87,-0.0212,6.3e-05,0.03863,0.0361,0.03965153825700049,False,-0.0035515382570004903,0.0035515382570004903,1.261342399093808e-05
6_F_across_2_Day_3_HT,6,CPC,F_across,D,Day_3,Spring,HT,49.82,0.93,0.0155,4.9e-05,0.40425,0.3778,0.15692876378505827,False,0.22087123621494176,0.22087123621494176,0.0487841029871166
6_F_across_2_Day_3_LT,6,CPC,F_across,D,Day_3,Spring,LT,49.82,0.87,-0.0181,5.4e-05,0.09502,0.0888,0.055097231247344294,False,0.03370276875265571,0.03370276875265571,0.001135876621594986
6_G_2_Day_1_HT,6,CPC,G,F,Day_1,Neap,HT,54.23,0.52,0.0106,1.9e-05,0.05456,0.0496,0.14028746646641874,False,-0.09068746646641873,0.09068746646641873,0.008224216574097823
6_G_2_Day_1_LT,6,CPC,G,F,Day_1,Neap,LT,54.23,0.47,-0.0107,1.7e-05,0.08547,0.0777,0.21115245963750032,False,-0.1334524596375003,0.1334524596375003,0.017809558983298647
6_G_2_Day_2_HT,6,CPC,G,F,Day_2,Spring,HT,54.23,0.52,0.0087,1.5e-05,0.04829,0.0439,0.1571437338238078,False,-0.11324373382380781,0.11324373382380781,0.012824143250357434
6_G_2_Day_2_LT,6,CPC,G,F,Day_2,Spring,LT,54.23,0.47,-0.0085,1.4e-05,0.09768,0.0888,0.15380018380200214,False,-0.06500018380200213,0.06500018380200213,0.00422502389429406
6_G_2_Day_3_HT,6,CPC,G,F,Day_3,Spring,HT,54.23,0.52,0.0091,1.6e-05,0.05423,0.0493,0.18161541408091317,False,-0.13231541408091319,0.13231541408091319,0.01750736880340352
6_G_2_Day_3_LT,6,CPC,G,F,Day_3,Spring,LT,54.23,0.47,-0.0118,1.9e-05,0.41558,0.3778,0.35881398253495833,False,0.018986017465041694,0.018986017465041694,0.0003604688591828682
6_H_2_Day_1_HT,6,CPC,H,F_across,Day_1,Neap,HT,86.07,0.55,0.0112,2.1e-05,0.08314,0.0777,0.1167159335304046,False,-0.0390159335304046,0.0390159335304046,0.0015222430692489498
6_H_2_Day_1_LT,6,CPC,H,F_across,Day_1,Neap,LT,86.07,0.5,-0.0106,1.8e-05,0.05521,0.0516,0.1442095788276553,False,-0.0926095788276553,0.0926095788276553,0.0085765340906357
6_H_2_Day_2_HT,6,CPC,H,F_across,Day_2,Spring,HT,86.07,0.55,0.0098,1.8e-05,0.07019,0.0656,0.1271831046220985,False,-0.0615831046220985,0.0615831046220985,0.003792478774896329
6_H_2_Day_2_LT,6,CPC,H,F_across,Day_2,Spring,LT,86.07,0.5,-0.0116,2e-05,0.05307,0.0496,0.050319112284941195,False,-0.0007191122849411966,0.0007191122849411966,5.171224783533487e-07
6_H_2_Day_3_HT,6,CPC,H,F_across,Day_3,Spring,HT,86.07,0.55,0.0138,2.6e-05,0.11406,0.1066,0.17345580663304278,False,-0.06685580663304277,0.06685580663304277,0.004469698880554806
6_H_2_Day_3_LT,6,CPC,H,F_across,Day_3,Spring,LT,86.07,0.5,-0.0106,1.8e-05,0.05607,0.0524,0.06582927026213103,False,-0.013429270262131032,0.013429270262131032,0.00018034529977335688
8_C_2_Day_1_HT,8,CPC,C,Dutch_Canal,Day_1,Neap,HT,0.0,0.73,0.013,3.2e-05,0.04066,0.038,0.038,True,0.0,0.0,0.0
8_C_2_Day_1_LT,8,CPC,C,Dutch_Canal,Day_1,Neap,LT,0.0,0.68,-0.0155,3.6e-05,0.06741,0.063,0.063,True,0.0,0.0,0.0
8_D_2_Day_1_HT,8,CPC,D,C,Day_1,Neap,HT,50.78,0.73,0.013,3.2e-05,0.03863,0.0361,0.04026682053092567,False,-0.004166820530925673,0.004166820530925673,1.736239333694371e-05
8_D_2_Day_1_LT,8,CPC,D,C,Day_1,Neap,LT,50.78,0.68,-0.0155,3.6e-05,0.0657,0.0614,0.06693755686751886,False,-0.005537556867518854,0.005537556867518854,3.0664536061005227e-05
8_D_2_Day_2_HT,8,CPC,D,C,Day_2,Spring,HT,50.78,0.73,0.0187,4.7e-05,0.04087,0.0382,0.040232071221566475,False,-0.002032071221566477,0.002032071221566477,4.129313449518673e-06
8_D_2_Day_2_LT,8,CPC,D,C,Day_2,Spring,LT,50.78,0.68,-0.0117,2.7e-05,0.06795,0.0635,0.0685741304452451,False,-0.005074130445245101,0.005074130445245101,2.5746799775363246e-05
8_D_2_Day_3_HT,8,CPC,D,C,Day_3,Spring,HT,50.78,0.73,0.0178,4.4e-05,0.07725,0.0722,0.0756556237504329,False,-0.0034556237504329013,0.0034556237504329013,1.194133550455595e-05
8_D_2_Day_3_LT,8,CPC,D,C,Day_3,Spring,LT,50.78,0.68,-0.0136,3.2e-05,0.06024,0.0563,0.06091385124491071,False,-0.004613851244910705,0.004613851244910705,2.1287623310164064e-05
8_E_2_Day_1_HT,8,CPC,E,D,Day_1,Neap,HT,78.96,0.73,0.0178,4.4e-05,0.10065,0.0915,0.0803582799864242,False,0.011141720013575801,0.011141720013575801,0.00012413792486091555
8_E_2_Day_1_LT,8,CPC,E,D,Day_1,Neap,LT,78.96,0.66,-0.0122,2.8e-05,0.08283,0.0753,0.1294121144906591,False,-0.054112114490659086,0.054112114490659086,0.002928120934650197
8_E_2_Day_2_HT,8,CPC,E,D,Day_2,Spring,HT,78.96,0.73,0.0162,4e-05,0.04796,0.0436,0.06116196947921093,False,-0.01756196947921093,0.01756196947921093,0.00030842277198873627
8_E_2_Day_2_LT,8,CPC,E,D,Day_2,Spring,LT,78.96,0.66,-0.0132,3e-05,0.10417,0.0947,0.13953758484525375,False,-0.04483758484525374,0.04483758484525374,0.002010409014755328
8_E_2_Day_3_HT,8,CPC,E,D,Day_3,Spring,HT,78.96,0.73,0.0178,4.4e-05,0.10065,0.0915,0.11574708320593143,False,-0.024247083205931427,0.024247083205931427,0.0005879210439953619
8_E_2_Day_3_LT,8,CPC,E,D,Day_3,Spring,LT,78.96,0.66,-0.014,3.2e-05,0.06644,0.0604,0.1041662900271224,False,-0.043766290027122394,0.043766290027122394,0.0019154881427381931
8_F_2_Day_1_HT,8,CPC,F,D,Day_1,Neap,HT,117.84,0.76,0.0127,3.3e-05,0.12926,0.1208,0.06008057015065231,False,0.060719429849347695,0.060719429849347695,0.0036868491612298557
8_F_2_Day_1_LT,8,CPC,F,D,Day_1,Neap,LT,117.84,0.71,-0.0154,3.7e-05,0.0519,0.0485,0.07329788430096978,False,-0.024797884300969783,0.024797884300969783,0.0006149350658042836
8_F_2_Day_2_HT,8,CPC,F,D,Day_2,Spring,HT,117.84,0.76,0.0185,4.8e-05,0.09791,0.0915,0.05039522887727084,False,0.04110477112272916,0.04110477112272916,0.0016896022090519488
8_F_2_Day_2_LT,8,CPC,F,D,Day_2,Spring,LT,117.84,0.71,-0.0148,3.6e-05,0.07982,0.0746,0.0800239018265025,False,-0.0054239018265025,0.0054239018265025,2.941871102353716e-05
8_F_2_Day_3_HT,8,CPC,F,D,Day_3,Spring,HT,117.84,0.76,0.0149,3.9e-05,0.05371,0.0502,0.08314587412412398,False,-0.03294587412412398,0.03294587412412398,0.001085430621802622
8_F_2_Day_3_LT,8,CPC,F,D,Day_3,Spring,LT,117.84,0.71,-0.0178,4.3e-05,0.04665,0.0436,0.06613190284801002,False,-0.022531902848010016,0.022531902848010016,0.0005076866459521619
8_F_across_2_Day_1_HT,8,CPC,F_across,D,Day_1,Neap,HT,113.12,0.98,0.0178,6e-05,0.09791,0.0915,0.048680463837808385,False,0.04281953616219161,0.04281953616219161,0.0018335126771452353
8_F_across_2_Day_1_LT,8,CPC,F_across,D,Day_1,Neap,LT,113.12,0.92,-0.0209,6.6e-05,0.06987,0.0653,0.07228617300684047,False,-0.006986173006840471,0.006986173006840471,4.880661328150643e-05
8_F_across_2_Day_2_HT,8,CPC,F_across,D,Day_2,Spring,HT,113.12,0.98,0.0192,6.4e-05,0.03863,0.0361,0.043009608415398165,False,-0.006909608415398165,0.006909608415398165,4.774268845414114e-05
8_F_across_2_Day_2_LT,8,CPC,F_across,D,Day_2,Spring,LT,113.12,0.92,-0.018,5.7e-05,0.02739,0.0256,0.07106896178623405,False,-0.04546896178623405,0.04546896178623405,0.0020674264859180127
8_F_across_2_Day_3_HT,8,CPC,F_across,D,Day_3,Spring,HT,113.12,0.98,0.0196,6.6e-05,0.05607,0.0524,0.07999219339785792,False,-0.027592193397857914,0.027592193397857914,0.0007613291365047938
8_F_across_2_Day_3_LT,8,CPC,F_across,D,Day_3,Spring,LT,113.12,0.92,-0.018,5.7e-05,0.05093,0.0476,0.06555283482273352,False,-0.01795283482273352,0.01795283482273352,0.00032230427817235335
8_G_2_Day_1_HT,8,CPC,G,F,Day_1,Neap,HT,34.86,0.63,0.0158,3.4e-05,0.07887,0.0717,0.09021175723591196,False,-0.01851175723591196,0.01851175723591196,0.0003426851559613388
8_G_2_Day_1_LT,8,CPC,G,F,Day_1,Neap,LT,34.86,0.59,-0.0134,2.7e-05,0.10846,0.0986,0.13384270775623133,False,-0.03524270775623134,0.03524270775623134,0.0012420484499911287
8_G_2_Day_2_HT,8,CPC,G,F,Day_2,Spring,HT,34.86,0.63,0.0134,2.9e-05,0.09768,0.0888,0.11622433030050863,False,-0.02742433030050863,0.02742433030050863,0.0007520938924313957
8_G_2_Day_2_LT,8,CPC,G,F,Day_2,Spring,LT,34.86,0.59,-0.0111,2.2e-05,0.05225,0.0475,0.06719246929737985,False,-0.019692469297379847,0.019692469297379847,0.0003877933470282479
8_G_2_Day_3_HT,8,CPC,G,F,Day_3,Spring,HT,34.86,0.63,0.0124,2.7e-05,0.01155,0.0105,0.014058169748252662,False,-0.003558169748252661,0.003558169748252661,1.2660571957380406e-05
8_G_2_Day_3_LT,8,CPC,G,F,Day_3,Spring,LT,34.86,0.59,-0.012,2.4e-05,0.09636,0.0876,0.12194293138530414,False,-0.03434293138530414,0.03434293138530414,0.0011794369361357083
8_H_2_Day_1_HT,8,CPC,H,F_across,Day_1,Neap,HT,83.91,0.65,0.0114,2.5e-05,0.04087,0.0382,0.043304268097925494,False,-0.005104268097925496,0.005104268097925496,2.6053552815499963e-05
8_H_2_Day_1_LT,8,CPC,H,F_across,Day_1,Neap,LT,83.91,0.57,-0.0104,2e-05,0.07265,0.0679,0.07924160378377441,False,-0.011341603783774412,0.011341603783774412,0.00012863197638812607
8_H_2_Day_2_HT,8,CPC,H,F_across,Day_2,Spring,HT,83.91,0.65,0.0125,2.8e-05,0.09245,0.0864,0.09926424865212119,False,-0.012864248652121185,0.012864248652121185,0.00016548889338360173
8_H_2_Day_2_LT,8,CPC,H,F_across,Day_2,Spring,LT,83.91,0.57,-0.0106,2.1e-05,0.0596,0.0557,0.06767807831896436,False,-0.011978078318964358,0.011978078318964358,0.00014347436021524401
8_H_2_Day_3_HT,8,CPC,H,F_across,Day_3,Spring,HT,83.91,0.65,0.0108,2.4e-05,0.04569,0.0427,0.04955358439639482,False,-0.006853584396394816,0.006853584396394816,4.697161907850649e-05
8_H_2_Day_3_LT,8,CPC,H,F_across,Day_3,Spring,LT,83.91,0.57,-0.0133,2.6e-05,0.0077,0.0072,0.008300718950937511,False,-0.0011007189509375116,0.0011007189509375116,1.211582208952976e-06
14_I_2_Day_1_HT,14,LC,I,Dutch_Canal,Day_1,Neap,HT,0.0,1.09,0.0279,0.000104,0.105,0.1,0.1,True,0.0,0.0,0.0
14_I_2_Day_1_LT,14,LC,I,Dutch_Canal,Day_1,Neap,LT,0.0,0.98,-0.0169,5.7e-05,0.042,0.04,0.04,True,0.0,0.0,0.0
14_J_2_Day_1_HT,14,LC,J,I,Day_1,Neap,HT,62.89,1.09,0.0279,0.000104,0.09608,0.0915,0.1050905376017036,False,-0.013590537601703603,0.013590537601703603,0.00018470271230331954
14_J_2_Day_1_LT,14,LC,J,I,Day_1,Neap,LT,62.89,0.98,-0.0169,5.7e-05,0.03791,0.0361,0.04380611512328231,False,-0.0077061151232823075,0.0077061151232823075,5.938421029328029e-05
14_J_2_Day_2_HT,14,LC,J,I,Day_2,Spring,HT,62.89,1.09,0.0214,8e-05,0.06279,0.0598,0.06419983543122348,False,-0.004399835431223485,0.004399835431223485,1.9358551821849554e-05
14_J_2_Day_2_LT,14,LC,J,I,Day_2,Spring,LT,62.89,0.98,-0.0218,7.3e-05,0.03371,0.0321,0.034631718368865964,False,-0.002531718368865968,0.002531718368865968,6.4095978992533566e-06
14_J_2_Day_3_HT,14,LC,J,I,Day_3,Spring,HT,62.89,1.09,0.0237,8.8e-05,0.01092,0.0104,0.011067779638828337,False,-0.0006677796388283377,0.0006677796388283377,4.459296460337052e-07
14_J_2_Day_3_LT,14,LC,J,I,Day_3,Spring,LT,62.89,0.98,-0.0185,6.2e-05,0.01092,0.0104,0.011370380918602124,False,-0.0009703809186021248,0.0009703809186021248,9.416391271871035e-07
14_K_2_Day_1_HT,14,LC,K,J,Day_1,Neap,HT,70.66,0.42,0.0075,1.1e-05,0.02352,0.0224,0.12004115255148103,False,-0.09764115255148102,0.09764115255148102,0.009533794671581589
14_K_2_Day_1_LT,14,LC,K,J,Day_1,Neap,LT,70.66,0.37,-0.0077,1e-05,0.05177,0.0493,0.08105708865112639,False,-0.03175708865112639,0.03175708865112639,0.0010085126795955006
14_K_2_Day_2_HT,14,LC,K,J,Day_2,Spring,HT,70.66,0.42,0.0108,1.5e-05,0.10574,0.1007,0.09940402129859319,False,0.0012959787014068108,0.0012959787014068108,1.6795607945000837e-06
14_K_2_Day_2_LT,14,LC,K,J,Day_2,Spring,LT,70.66,0.37,-0.009,1.1e-05,0.1008,0.096,0.08005761558313282,False,0.015942384416867184,0.015942384416867184,0.0002541596208951696
14_K_2_Day_3_HT,14,LC,K,J,Day_3,Spring,HT,70.66,0.42,0.0074,1.1e-05,0.05208,0.0496,0.046721531264981894,False,0.002878468735018104,0.002878468735018104,8.285582258476723e-06
14_K_2_Day_3_LT,14,LC,K,J,Day_3,Spring,LT,70.66,0.37,-0.0069,9e-06,0.00221,0.0021,0.013180059451572801,False,-0.011080059451572801,0.011080059451572801,0.00012276771745038778
15_I_2_Day_1_HT,15,LC,I,Dutch_Canal,Day_1,Neap,HT,0.0,1.0,0.0227,7.8e-05,0.063,0.06,0.06,True,0.0,0.0,0.0
15_I_2_Day_1_LT,15,LC,I,Dutch_Canal,Day_1,Neap,LT,0.0,0.93,-0.0238,7.6e-05,0.04725,0.045,0.045,True,0.0,0.0,0.0
15_J_2_Day_1_HT,15,LC,J,I,Day_1,Neap,HT,64.2,1.0,0.0227,7.8e-05,0.06027,0.0574,0.06447161898615165,False,-0.007071618986151655,0.007071618986151655,5.000779508530056e-05
15_J_2_Day_1_LT,15,LC,J,I,Day_1,Neap,LT,64.2,0.93,-0.0238,7.6e-05,0.04515,0.043,0.04842320587425828,False,-0.005423205874258284,0.005423205874258284,2.941116195458956e-05
15_J_2_Day_2_HT,15,LC,J,I,Day_2,Spring,HT,64.2,1.0,0.0244,8.3e-05,0.05177,0.0493,0.0526967048400555,False,-0.0033967048400555047,0.0033967048400555047,1.1537603770456493e-05
15_J_2_Day_2_LT,15,LC,J,I,Day_2,Spring,LT,64.2,0.93,-0.016,5.1e-05,0.05019,0.0478,0.053409836241166506,False,-0.005609836241166503,0.005609836241166503,3.147026265270512e-05
15_J_2_Day_3_HT,15,LC,J,I,Day_3,Spring,HT,64.2,1.0,0.0172,5.9e-05,0.00651,0.0062,0.006832060413586733,False,-0.0006320604135867328,0.0006320604135867328,3.9950036642343177e-07
15_J_2_Day_3_LT,15,LC,J,I,Day_3,Spring,LT,64.2,0.93,-0.0221,7e-05,0.09324,0.0888,0.09610856455536766,False,-0.007308564555367658,0.007308564555367658,5.3415115859976455e-05
15_K_2_Day_1_HT,15,LC,K,J,Day_1,Neap,HT,72.43,0.62,0.0132,2.8e-05,0.04022,0.0383,0.0736112059650505,False,-0.035311205965050496,0.035311205965050496,0.0012468812667062177
15_K_2_Day_1_LT,15,LC,K,J,Day_1,Neap,LT,72.43,0.58,-0.0109,2.2e-05,0.05849,0.0557,0.06710603298942522,False,-0.011406032989425219,0.011406032989425219,0.0001300975885558564
15_K_2_Day_2_HT,15,LC,K,J,Day_2,Spring,HT,72.43,0.62,0.0151,3.2e-05,0.04022,0.0383,0.06064839709567908,False,-0.02234839709567908,0.02234839709567908,0.0004994508527461572
15_K_2_Day_2_LT,15,LC,K,J,Day_2,Spring,LT,72.43,0.58,-0.0109,2.2e-05,0.02688,0.0256,0.061995823467285285,False,-0.03639582346728529,0.03639582346728529,0.0013246559658617945
15_K_2_Day_3_HT,15,LC,K,J,Day_3,Spring,HT,72.43,0.62,0.0135,2.9e-05,0.04116,0.0392,0.016559395090866496,False,0.022640604909133503,0.022640604909133503,0.00051259699065148
15_K_2_Day_3_LT,15,LC,K,J,Day_3,Spring,LT,72.43,0.58,-0.0126,2.5e-05,0.0357,0.034,0.1051881172520835,False,-0.0711881172520835,0.0711881172520835,0.005067748037896389
