Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L,Modelled_s0,Is_Seed_Node
6_C_2_Day_1_HT,6,CPC,C,Dutch_Canal,Day_1,Neap,HT,0.0,0.45,0.01,1.5e-05,0.10165,0.095,0.095,True
6_C_2_Day_1_LT,6,CPC,C,Dutch_Canal,Day_1,Neap,LT,0.0,0.4,-0.009,1.2e-05,0.13375,0.125,0.125,True
6_D_2_Day_1_HT,6,CPC,D,C,Day_1,Neap,HT,15.72,0.45,0.0096,1.5e-05,0.0978,0.0914,0.09420346846758787,False
6_D_2_Day_1_LT,6,CPC,D,C,Day_1,Neap,LT,15.72,0.4,-0.0089,1.2e-05,0.12926,0.1208,0.12178223403009489,False
6_F_across_2_Day_1_HT,6,CPC,F_across,D,Day_1,Neap,HT,49.82,0.93,0.016,5.1e-05,0.05607,0.0524,0.09350143254328513,False
6_F_across_2_Day_1_LT,6,CPC,F_across,D,Day_1,Neap,LT,49.82,0.87,-0.0161,4.8e-05,0.05275,0.0493,0.12107707301128949,False
6_F_2_Day_1_HT,6,CPC,F,D,Day_1,Neap,HT,51.81,0.61,0.0133,2.8e-05,0.03863,0.0361,0.09347795154873972,False
6_F_2_Day_1_LT,6,CPC,F,D,Day_1,Neap,LT,51.81,0.52,-0.0095,1.7e-05,0.0978,0.0914,0.11842343430337306,False
6_E_2_Day_1_HT,6,CPC,E,D,Day_1,Neap,HT,53.25,0.53,0.0093,1.7e-05,0.03971,0.0361,0.1159324507031854,False
6_E_2_Day_1_LT,6,CPC,E,D,Day_1,Neap,LT,53.25,0.47,-0.0089,1.4e-05,0.10054,0.0914,0.1801959417302926,False
6_G_2_Day_1_HT,6,CPC,G,F,Day_1,Neap,HT,54.23,0.52,0.0106,1.9e-05,0.05456,0.0496,0.1206149529480906,False
6_G_2_Day_1_LT,6,CPC,G,F,Day_1,Neap,LT,54.23,0.47,-0.0107,1.7e-05,0.08547,0.0777,0.1620036998792433,False
6_H_2_Day_1_HT,6,CPC,H,F_across,Day_1,Neap,HT,86.07,0.55,0.0112,2.1e-05,0.08314,0.0777,0.08844371377588539,False
6_H_2_Day_1_LT,6,CPC,H,F_across,Day_1,Neap,LT,86.07,0.5,-0.0106,1.8e-05,0.05521,0.0516,0.11678692010887166,False
6_D_2_Day_2_HT,6,CPC,D,C,Day_2,Spring,HT,15.72,0.45,0.0105,1.6e-05,0.11749,0.1098,0.10779884358338473,False
6_D_2_Day_2_LT,6,CPC,D,C,Day_2,Spring,LT,15.72,0.4,-0.0093,1.3e-05,0.03841,0.0359,0.03565856553630979,False
6_F_across_2_Day_2_HT,6,CPC,F_across,D,Day_2,Spring,HT,49.82,0.93,0.0169,5.3e-05,0.05307,0.0496,0.10685814600836191,False
6_F_across_2_Day_2_LT,6,CPC,F_across,D,Day_2,Spring,LT,49.82,0.87,-0.0212,6.3e-05,0.03863,0.0361,0.03522752937085286,False
6_F_2_Day_2_HT,6,CPC,F,D,Day_2,Spring,HT,51.81,0.61,0.013,2.7e-05,0.08817,0.0824,0.10520781080632605,False
6_F_2_Day_2_LT,6,CPC,F,D,Day_2,Spring,LT,51.81,0.52,-0.009,1.6e-05,0.08357,0.0781,0.03193167371918157,False
6_E_2_Day_2_HT,6,CPC,E,D,Day_2,Spring,HT,53.25,0.53,0.0088,1.6e-05,0.06369,0.0579,0.14397149129666423,False
6_E_2_Day_2_LT,6,CPC,E,D,Day_2,Spring,LT,53.25,0.47,-0.0112,1.8e-05,0.06985,0.0635,0.0704238302764443,False
6_G_2_Day_2_HT,6,CPC,G,F,Day_2,Spring,HT,54.23,0.52,0.0087,1.5e-05,0.04829,0.0439,0.13073979672635533,False
6_G_2_Day_2_LT,6,CPC,G,F,Day_2,Spring,LT,54.23,0.47,-0.0085,1.4e-05,0.09768,0.0888,0.10269621947540454,False
6_H_2_Day_2_HT,6,CPC,H,F_across,Day_2,Spring,HT,86.07,0.55,0.0098,1.8e-05,0.07019,0.0656,0.09936496871636097,False
6_H_2_Day_2_LT,6,CPC,H,F_across,Day_2,Spring,LT,86.07,0.5,-0.0116,2e-05,0.05307,0.0496,0.03283287315644356,False
6_D_2_Day_3_HT,6,CPC,D,C,Day_3,Spring,HT,15.72,0.45,0.0107,1.6e-05,0.14541,0.1359,0.13246261467832818,False
6_D_2_Day_3_LT,6,CPC,D,C,Day_3,Spring,LT,15.72,0.4,-0.0091,1.2e-05,0.05275,0.0493,0.047450131938296274,False
6_F_across_2_Day_3_HT,6,CPC,F_across,D,Day_3,Spring,HT,49.82,0.93,0.0155,4.9e-05,0.40425,0.3778,0.12591831097528536,False
6_F_across_2_Day_3_LT,6,CPC,F_across,D,Day_3,Spring,LT,49.82,0.87,-0.0181,5.4e-05,0.09502,0.0888,0.046344105246394283,False
6_F_2_Day_3_HT,6,CPC,F,D,Day_3,Spring,HT,51.81,0.61,0.0102,2.1e-05,0.0077,0.0072,0.13211046570699814,False
6_F_2_Day_3_LT,6,CPC,F,D,Day_3,Spring,LT,51.81,0.52,-0.0108,1.9e-05,0.05607,0.0524,0.04474904365798277,False
6_E_2_Day_3_HT,6,CPC,E,D,Day_3,Spring,HT,53.25,0.53,0.0098,1.8e-05,0.06578,0.0598,0.16716853600102016,False
6_E_2_Day_3_LT,6,CPC,E,D,Day_3,Spring,LT,53.25,0.47,-0.0121,1.9e-05,0.05764,0.0524,0.07192542472240127,False
6_G_2_Day_3_HT,6,CPC,G,F,Day_3,Spring,HT,54.23,0.52,0.0091,1.6e-05,0.05423,0.0493,0.1615229227491739,False
6_G_2_Day_3_LT,6,CPC,G,F,Day_3,Spring,LT,54.23,0.47,-0.0118,1.9e-05,0.41558,0.3778,0.24596862822338672,False
6_H_2_Day_3_HT,6,CPC,H,F_across,Day_3,Spring,HT,86.07,0.55,0.0138,2.6e-05,0.11406,0.1066,0.12100076598818334,False
6_H_2_Day_3_LT,6,CPC,H,F_across,Day_3,Spring,LT,86.07,0.5,-0.0106,1.8e-05,0.05607,0.0524,0.041987125111662055,False
8_C_2_Day_1_HT,8,CPC,C,Dutch_Canal,Day_1,Neap,HT,0.0,0.73,0.013,3.2e-05,0.04066,0.038,0.038,True
8_C_2_Day_1_LT,8,CPC,C,Dutch_Canal,Day_1,Neap,LT,0.0,0.68,-0.0155,3.6e-05,0.06741,0.063,0.063,True
8_G_2_Day_1_HT,8,CPC,G,F,Day_1,Neap,HT,34.86,0.63,0.0158,3.4e-05,0.07887,0.0717,0.08523922099399431,False
8_G_2_Day_1_LT,8,CPC,G,F,Day_1,Neap,LT,34.86,0.59,-0.0134,2.7e-05,0.10846,0.0986,0.12202815279725329,False
8_D_2_Day_1_HT,8,CPC,D,C,Day_1,Neap,HT,50.78,0.73,0.013,3.2e-05,0.03863,0.0361,0.03684289835524018,False
8_D_2_Day_1_LT,8,CPC,D,C,Day_1,Neap,LT,50.78,0.68,-0.0155,3.6e-05,0.0657,0.0614,0.061690486988416934,False
8_E_2_Day_1_HT,8,CPC,E,D,Day_1,Neap,HT,78.96,0.73,0.0178,4.4e-05,0.10065,0.0915,0.06593637659961223,False
8_E_2_Day_1_LT,8,CPC,E,D,Day_1,Neap,LT,78.96,0.66,-0.0122,2.8e-05,0.08283,0.0753,0.10396386249235079,False
8_H_2_Day_1_HT,8,CPC,H,F_across,Day_1,Neap,HT,83.91,0.65,0.0114,2.5e-05,0.04087,0.0382,0.035637952319201104,False
8_H_2_Day_1_LT,8,CPC,H,F_across,Day_1,Neap,LT,83.91,0.57,-0.0104,2e-05,0.07265,0.0679,0.06220717017341455,False
8_F_across_2_Day_1_HT,8,CPC,F_across,D,Day_1,Neap,HT,113.12,0.98,0.0178,6e-05,0.09791,0.0915,0.03472723745280566,False
8_F_across_2_Day_1_LT,8,CPC,F_across,D,Day_1,Neap,LT,113.12,0.92,-0.0209,6.6e-05,0.06987,0.0653,0.06022321777945612,False
8_F_2_Day_1_HT,8,CPC,F,D,Day_1,Neap,HT,117.84,0.76,0.0127,3.3e-05,0.12926,0.1208,0.030495030394354156,False
8_F_2_Day_1_LT,8,CPC,F,D,Day_1,Neap,LT,117.84,0.71,-0.0154,3.7e-05,0.0519,0.0485,0.05878372294051187,False
8_G_2_Day_2_HT,8,CPC,G,F,Day_2,Spring,HT,34.86,0.63,0.0134,2.9e-05,0.09768,0.0888,0.10895733798344497,False
8_G_2_Day_2_LT,8,CPC,G,F,Day_2,Spring,LT,34.86,0.59,-0.0111,2.2e-05,0.05225,0.0475,0.06036293429926354,False
8_D_2_Day_2_HT,8,CPC,D,C,Day_2,Spring,HT,50.78,0.73,0.0187,4.7e-05,0.04087,0.0382,0.03771069540797594,False
8_D_2_Day_2_LT,8,CPC,D,C,Day_2,Spring,LT,50.78,0.68,-0.0117,2.7e-05,0.06795,0.0635,0.06138754311794365,False
8_E_2_Day_2_HT,8,CPC,E,D,Day_2,Spring,HT,78.96,0.73,0.0162,4e-05,0.04796,0.0436,0.052883294627480176,False
8_E_2_Day_2_LT,8,CPC,E,D,Day_2,Spring,LT,78.96,0.66,-0.0132,3e-05,0.10417,0.0947,0.10895519102658216,False
8_H_2_Day_2_HT,8,CPC,H,F_across,Day_2,Spring,HT,83.91,0.65,0.0125,2.8e-05,0.09245,0.0864,0.08342896618198961,False
8_H_2_Day_2_LT,8,CPC,H,F_across,Day_2,Spring,LT,83.91,0.57,-0.0106,2.1e-05,0.0596,0.0557,0.053943074749966215,False
8_F_across_2_Day_2_HT,8,CPC,F_across,D,Day_2,Spring,HT,113.12,0.98,0.0192,6.4e-05,0.03863,0.0361,0.0366393931351957,False
8_F_across_2_Day_2_LT,8,CPC,F_across,D,Day_2,Spring,LT,113.12,0.92,-0.018,5.7e-05,0.02739,0.0256,0.06077946748731552,False
8_F_2_Day_2_HT,8,CPC,F,D,Day_2,Spring,HT,117.84,0.76,0.0185,4.8e-05,0.09791,0.0915,0.034271259471889776,False
8_F_2_Day_2_LT,8,CPC,F,D,Day_2,Spring,LT,117.84,0.71,-0.0148,3.6e-05,0.07982,0.0746,0.057996364295777016,False
8_G_2_Day_3_HT,8,CPC,G,F,Day_3,Spring,HT,34.86,0.63,0.0124,2.7e-05,0.01155,0.0105,0.013128838895605871,False
8_G_2_Day_3_LT,8,CPC,G,F,Day_3,Spring,LT,34.86,0.59,-0.012,2.4e-05,0.09636,0.0876,0.1102538359417008,False
8_D_2_Day_3_HT,8,CPC,D,C,Day_3,Spring,HT,50.78,0.73,0.0178,4.4e-05,0.07725,0.0722,0.0706538098595907,False
8_D_2_Day_3_LT,8,CPC,D,C,Day_3,Spring,LT,50.78,0.68,-0.0136,3.2e-05,0.06024,0.0563,0.05542648924928552,False
8_E_2_Day_3_HT,8,CPC,E,D,Day_3,Spring,HT,78.96,0.73,0.0178,4.4e-05,0.10065,0.0915,0.09974728810396274,False
8_E_2_Day_3_LT,8,CPC,E,D,Day_3,Spring,LT,78.96,0.66,-0.014,3.2e-05,0.06644,0.0604,0.08457989637985155,False
8_H_2_Day_3_HT,8,CPC,H,F_across,Day_3,Spring,HT,83.91,0.65,0.0108,2.4e-05,0.04569,0.0427,0.04049998109878667,False
8_H_2_Day_3_LT,8,CPC,H,F_across,Day_3,Spring,LT,83.91,0.57,-0.0133,2.6e-05,0.0077,0.0072,0.006887586982749482,False
8_F_across_2_Day_3_HT,8,CPC,F_across,D,Day_3,Spring,HT,113.12,0.98,0.0196,6.6e-05,0.05607,0.0524,0.06951466465454728,False
8_F_across_2_Day_3_LT,8,CPC,F_across,D,Day_3,Spring,LT,113.12,0.92,-0.018,5.7e-05,0.05093,0.0476,0.054295810466230006,False
8_F_2_Day_3_HT,8,CPC,F,D,Day_3,Spring,HT,117.84,0.76,0.0149,3.9e-05,0.05371,0.0502,0.06887446992657305,False
8_F_2_Day_3_LT,8,CPC,F,D,Day_3,Spring,LT,117.84,0.71,-0.0178,4.3e-05,0.04665,0.0436,0.05343567248417267,False
14_I_2_Day_1_HT,14,LC,I,Dutch_Canal,Day_1,Neap,HT,0.0,1.09,0.0279,0.000104,0.105,0.1,0.1,True
14_I_2_Day_1_LT,14,LC,I,Dutch_Canal,Day_1,Neap,LT,0.0,0.98,-0.0169,5.7e-05,0.042,0.04,0.04,True
14_J_2_Day_1_HT,14,LC,J,I,Day_1,Neap,HT,62.89,1.09,0.0279,0.000104,0.09608,0.0915,0.10519137794616307,False
14_J_2_Day_1_LT,14,LC,J,I,Day_1,Neap,LT,62.89,0.98,-0.0169,5.7e-05,0.03791,0.0361,0.04389395378305614,False
14_K_2_Day_1_HT,14,LC,K,J,Day_1,Neap,HT,70.66,0.42,0.0075,1.1e-05,0.02352,0.0224,0.12058929305140942,False
14_K_2_Day_1_LT,14,LC,K,J,Day_1,Neap,LT,70.66,0.37,-0.0077,1e-05,0.05177,0.0493,0.08234199603477321,False
14_J_2_Day_2_HT,14,LC,J,I,Day_2,Spring,HT,62.89,1.09,0.0214,8e-05,0.06279,0.0598,0.06429359444514128,False
14_J_2_Day_2_LT,14,LC,J,I,Day_2,Spring,LT,62.89,0.98,-0.0218,7.3e-05,0.03371,0.0321,0.03468074792844109,False
14_K_2_Day_2_HT,14,LC,K,J,Day_2,Spring,HT,70.66,0.42,0.0108,1.5e-05,0.10574,0.1007,0.09945755277474277,False
14_K_2_Day_2_LT,14,LC,K,J,Day_2,Spring,LT,70.66,0.37,-0.009,1.1e-05,0.1008,0.096,0.08001839297047406,False
14_J_2_Day_3_HT,14,LC,J,I,Day_3,Spring,HT,62.89,1.09,0.0237,8.8e-05,0.01092,0.0104,0.011079603933552933,False
14_J_2_Day_3_LT,14,LC,J,I,Day_3,Spring,LT,62.89,0.98,-0.0185,6.2e-05,0.01092,0.0104,0.011389593201980675,False
14_K_2_Day_3_HT,14,LC,K,J,Day_3,Spring,HT,70.66,0.42,0.0074,1.1e-05,0.05208,0.0496,0.04800036254042618,False
14_K_2_Day_3_LT,14,LC,K,J,Day_3,Spring,LT,70.66,0.37,-0.0069,9e-06,0.00221,0.0021,0.013260694625257103,False
15_I_2_Day_1_HT,15,LC,I,Dutch_Canal,Day_1,Neap,HT,0.0,1.0,0.0227,7.8e-05,0.063,0.06,0.06,True
15_I_2_Day_1_LT,15,LC,I,Dutch_Canal,Day_1,Neap,LT,0.0,0.93,-0.0238,7.6e-05,0.04725,0.045,0.045,True
15_J_2_Day_1_HT,15,LC,J,I,Day_1,Neap,HT,64.2,1.0,0.0227,7.8e-05,0.06027,0.0574,0.0645712209425149,False
15_J_2_Day_1_LT,15,LC,J,I,Day_1,Neap,LT,64.2,0.93,-0.0238,7.6e-05,0.04515,0.043,0.04849819157911519,False
15_K_2_Day_1_HT,15,LC,K,J,Day_1,Neap,HT,72.43,0.62,0.0132,2.8e-05,0.04022,0.0383,0.07389396692023975,False
15_K_2_Day_1_LT,15,LC,K,J,Day_1,Neap,LT,72.43,0.58,-0.0109,2.2e-05,0.05849,0.0557,0.06771078918273782,False
15_J_2_Day_2_HT,15,LC,J,I,Day_2,Spring,HT,64.2,1.0,0.0244,8.3e-05,0.05177,0.0493,0.052754174768520096,False
15_J_2_Day_2_LT,15,LC,J,I,Day_2,Spring,LT,64.2,0.93,-0.016,5.1e-05,0.05019,0.0478,0.05352749254995848,False
15_K_2_Day_2_HT,15,LC,K,J,Day_2,Spring,HT,72.43,0.62,0.0151,3.2e-05,0.04022,0.0383,0.06086123562896777,False
15_K_2_Day_2_LT,15,LC,K,J,Day_2,Spring,LT,72.43,0.58,-0.0109,2.2e-05,0.02688,0.0256,0.06235694414143354,False
15_J_2_Day_3_HT,15,LC,J,I,Day_3,Spring,HT,64.2,1.0,0.0172,5.9e-05,0.00651,0.0062,0.006845584801556504,False
15_J_2_Day_3_LT,15,LC,J,I,Day_3,Spring,LT,64.2,0.93,-0.0221,7e-05,0.09324,0.0888,0.09623719113779042,False
15_K_2_Day_3_HT,15,LC,K,J,Day_3,Spring,HT,72.43,0.62,0.0135,2.9e-05,0.04116,0.0392,0.01682907851467136,False
15_K_2_Day_3_LT,15,LC,K,J,Day_3,Spring,LT,72.43,0.58,-0.0126,2.5e-05,0.0357,0.034,0.10549813800388022,False
