Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L,cum_dist_m,Modelled_s0_GB,Residual
6_D_2_Day_1_HT,6,CPC,D,C,Day_1,Neap,HT,15.72,0.45,0.0096,1.5e-05,0.0978,0.0914,15.72,0.0812801796439502,0.010119820356049788
6_D_2_Day_1_LT,6,CPC,D,C,Day_1,Neap,LT,15.72,0.4,-0.0089,1.2e-05,0.12926,0.1208,15.72,0.08493731819845758,0.03586268180154242
6_D_2_Day_2_HT,6,CPC,D,C,Day_2,Spring,HT,15.72,0.45,0.0105,1.6e-05,0.11749,0.1098,15.72,0.08241669596952732,0.027383304030472677
6_D_2_Day_2_LT,6,CPC,D,C,Day_2,Spring,LT,15.72,0.4,-0.0093,1.3e-05,0.03841,0.0359,15.72,0.08493731819845758,-0.04903731819845758
6_D_2_Day_3_HT,6,CPC,D,C,Day_3,Spring,HT,15.72,0.45,0.0107,1.6e-05,0.14541,0.1359,15.72,0.08423385687603406,0.05166614312396593
6_D_2_Day_3_LT,6,CPC,D,C,Day_3,Spring,LT,15.72,0.4,-0.0091,1.2e-05,0.05275,0.0493,15.72,0.08493731819845758,-0.035637318198457585
6_E_2_Day_1_HT,6,CPC,E,D,Day_1,Neap,HT,53.25,0.53,0.0093,1.7e-05,0.03971,0.0361,68.97,0.08396923885166432,-0.047869238851664324
6_E_2_Day_1_LT,6,CPC,E,D,Day_1,Neap,LT,53.25,0.47,-0.0089,1.4e-05,0.10054,0.0914,68.97,0.09827978094295446,-0.0068797809429544665
6_E_2_Day_2_HT,6,CPC,E,D,Day_2,Spring,HT,53.25,0.53,0.0088,1.6e-05,0.06369,0.0579,68.97,0.08396923885166432,-0.026069238851664324
6_E_2_Day_2_LT,6,CPC,E,D,Day_2,Spring,LT,53.25,0.47,-0.0112,1.8e-05,0.06985,0.0635,68.97,0.09045844046463912,-0.02695844046463912
6_E_2_Day_3_HT,6,CPC,E,D,Day_3,Spring,HT,53.25,0.53,0.0098,1.8e-05,0.06578,0.0598,68.97,0.08399685938859801,-0.02419685938859801
6_E_2_Day_3_LT,6,CPC,E,D,Day_3,Spring,LT,53.25,0.47,-0.0121,1.9e-05,0.05764,0.0524,68.97,0.10104997279801523,-0.04864997279801522
6_F_2_Day_1_HT,6,CPC,F,D,Day_1,Neap,HT,51.81,0.61,0.0133,2.8e-05,0.03863,0.0361,120.78,0.07237656306164818,-0.03627656306164818
6_F_2_Day_1_LT,6,CPC,F,D,Day_1,Neap,LT,51.81,0.52,-0.0095,1.7e-05,0.0978,0.0914,120.78,0.08190807511228887,0.009491924887711126
6_F_2_Day_2_HT,6,CPC,F,D,Day_2,Spring,HT,51.81,0.61,0.013,2.7e-05,0.08817,0.0824,120.78,0.06983394453876406,0.012566055461235945
6_F_2_Day_2_LT,6,CPC,F,D,Day_2,Spring,LT,51.81,0.52,-0.009,1.6e-05,0.08357,0.0781,120.78,0.08190807511228887,-0.0038080751122888667
6_F_2_Day_3_HT,6,CPC,F,D,Day_3,Spring,HT,51.81,0.61,0.0102,2.1e-05,0.0077,0.0072,120.78,0.04747814294849031,-0.04027814294849031
6_F_2_Day_3_LT,6,CPC,F,D,Day_3,Spring,LT,51.81,0.52,-0.0108,1.9e-05,0.05607,0.0524,120.78,0.07346790795206218,-0.021067907952062176
6_F_across_2_Day_1_HT,6,CPC,F_across,D,Day_1,Neap,HT,49.82,0.93,0.016,5.1e-05,0.05607,0.0524,170.6,0.07767916047268648,-0.025279160472686482
6_F_across_2_Day_1_LT,6,CPC,F_across,D,Day_1,Neap,LT,49.82,0.87,-0.0161,4.8e-05,0.05275,0.0493,170.6,0.07631188528456595,-0.027011885284565954
6_F_across_2_Day_2_HT,6,CPC,F_across,D,Day_2,Spring,HT,49.82,0.93,0.0169,5.3e-05,0.05307,0.0496,170.6,0.07916677281576387,-0.02956677281576387
6_F_across_2_Day_2_LT,6,CPC,F_across,D,Day_2,Spring,LT,49.82,0.87,-0.0212,6.3e-05,0.03863,0.0361,170.6,0.049643629306510596,-0.013543629306510596
6_F_across_2_Day_3_HT,6,CPC,F_across,D,Day_3,Spring,HT,49.82,0.93,0.0155,4.9e-05,0.40425,0.3778,170.6,0.07767916047268648,0.30012083952731355
6_F_across_2_Day_3_LT,6,CPC,F_across,D,Day_3,Spring,LT,49.82,0.87,-0.0181,5.4e-05,0.09502,0.0888,170.6,0.0383662929669611,0.050433707033038906
6_G_2_Day_1_HT,6,CPC,G,F,Day_1,Neap,HT,54.23,0.52,0.0106,1.9e-05,0.05456,0.0496,224.82999999999998,0.07208052863182227,-0.022480528631822268
6_G_2_Day_1_LT,6,CPC,G,F,Day_1,Neap,LT,54.23,0.47,-0.0107,1.7e-05,0.08547,0.0777,224.82999999999998,0.09932209618459593,-0.02162209618459593
6_G_2_Day_2_HT,6,CPC,G,F,Day_2,Spring,HT,54.23,0.52,0.0087,1.5e-05,0.04829,0.0439,224.82999999999998,0.08247388386803144,-0.038573883868031435
6_G_2_Day_2_LT,6,CPC,G,F,Day_2,Spring,LT,54.23,0.47,-0.0085,1.4e-05,0.09768,0.0888,224.82999999999998,0.09636841895251208,-0.0075684189525120765
6_G_2_Day_3_HT,6,CPC,G,F,Day_3,Spring,HT,54.23,0.52,0.0091,1.6e-05,0.05423,0.0493,224.82999999999998,0.08247388386803144,-0.03317388386803144
6_G_2_Day_3_LT,6,CPC,G,F,Day_3,Spring,LT,54.23,0.47,-0.0118,1.9e-05,0.41558,0.3778,224.82999999999998,0.09429122358132604,0.283508776418674
6_H_2_Day_1_HT,6,CPC,H,F_across,Day_1,Neap,HT,86.07,0.55,0.0112,2.1e-05,0.08314,0.0777,310.9,0.057387006313204474,0.02031299368679553
6_H_2_Day_1_LT,6,CPC,H,F_across,Day_1,Neap,LT,86.07,0.5,-0.0106,1.8e-05,0.05521,0.0516,310.9,0.0676419515172474,-0.016041951517247403
6_H_2_Day_2_HT,6,CPC,H,F_across,Day_2,Spring,HT,86.07,0.55,0.0098,1.8e-05,0.07019,0.0656,310.9,0.06781971235732911,-0.0022197123573291094
6_H_2_Day_2_LT,6,CPC,H,F_across,Day_2,Spring,LT,86.07,0.5,-0.0116,2e-05,0.05307,0.0496,310.9,0.07253348683994565,-0.02293348683994565
6_H_2_Day_3_HT,6,CPC,H,F_across,Day_3,Spring,HT,86.07,0.55,0.0138,2.6e-05,0.11406,0.1066,310.9,0.0075881582732226045,0.09901184172677739
6_H_2_Day_3_LT,6,CPC,H,F_across,Day_3,Spring,LT,86.07,0.5,-0.0106,1.8e-05,0.05607,0.0524,310.9,0.0676419515172474,-0.015241951517247401
8_D_2_Day_1_HT,8,CPC,D,C,Day_1,Neap,HT,50.78,0.73,0.013,3.2e-05,0.03863,0.0361,50.78,0.0751627118881555,-0.0390627118881555
8_D_2_Day_1_LT,8,CPC,D,C,Day_1,Neap,LT,50.78,0.68,-0.0155,3.6e-05,0.0657,0.0614,50.78,0.09259167774562199,-0.03119167774562199
8_D_2_Day_2_HT,8,CPC,D,C,Day_2,Spring,HT,50.78,0.73,0.0187,4.7e-05,0.04087,0.0382,50.78,0.03398522795314261,0.004214772046857385
8_D_2_Day_2_LT,8,CPC,D,C,Day_2,Spring,LT,50.78,0.68,-0.0117,2.7e-05,0.06795,0.0635,50.78,0.06949083233656557,-0.005990832336565569
8_D_2_Day_3_HT,8,CPC,D,C,Day_3,Spring,HT,50.78,0.73,0.0178,4.4e-05,0.07725,0.0722,50.78,0.03398522795314261,0.03821477204685739
8_D_2_Day_3_LT,8,CPC,D,C,Day_3,Spring,LT,50.78,0.68,-0.0136,3.2e-05,0.06024,0.0563,50.78,0.03708624271347026,0.019213757286529742
8_E_2_Day_1_HT,8,CPC,E,D,Day_1,Neap,HT,78.96,0.73,0.0178,4.4e-05,0.10065,0.0915,129.74,0.0337577007851263,0.0577422992148737
8_E_2_Day_1_LT,8,CPC,E,D,Day_1,Neap,LT,78.96,0.66,-0.0122,2.8e-05,0.08283,0.0753,129.74,0.04681423458540258,0.02848576541459743
8_E_2_Day_2_HT,8,CPC,E,D,Day_2,Spring,HT,78.96,0.73,0.0162,4e-05,0.04796,0.0436,129.74,0.010658717548393145,0.03294128245160685
8_E_2_Day_2_LT,8,CPC,E,D,Day_2,Spring,LT,78.96,0.66,-0.0132,3e-05,0.10417,0.0947,129.74,0.031410699403551096,0.06328930059644891
8_E_2_Day_3_HT,8,CPC,E,D,Day_3,Spring,HT,78.96,0.73,0.0178,4.4e-05,0.10065,0.0915,129.74,0.0337577007851263,0.0577422992148737
8_E_2_Day_3_LT,8,CPC,E,D,Day_3,Spring,LT,78.96,0.66,-0.014,3.2e-05,0.06644,0.0604,129.74,0.031047864351625015,0.029352135648374987
8_F_2_Day_1_HT,8,CPC,F,D,Day_1,Neap,HT,117.84,0.76,0.0127,3.3e-05,0.12926,0.1208,247.58,0.13605671001712072,-0.015256710017120714
8_F_2_Day_1_LT,8,CPC,F,D,Day_1,Neap,LT,117.84,0.71,-0.0154,3.7e-05,0.0519,0.0485,247.58,0.15534665079869736,-0.10684665079869736
8_F_2_Day_2_HT,8,CPC,F,D,Day_2,Spring,HT,117.84,0.76,0.0185,4.8e-05,0.09791,0.0915,247.58,0.0484523859525354,0.0430476140474646
8_F_2_Day_2_LT,8,CPC,F,D,Day_2,Spring,LT,117.84,0.71,-0.0148,3.6e-05,0.07982,0.0746,247.58,0.11674345958406056,-0.04214345958406056
8_F_2_Day_3_HT,8,CPC,F,D,Day_3,Spring,HT,117.84,0.76,0.0149,3.9e-05,0.05371,0.0502,247.58,0.13480074491870125,-0.08460074491870126
8_F_2_Day_3_LT,8,CPC,F,D,Day_3,Spring,LT,117.84,0.71,-0.0178,4.3e-05,0.04665,0.0436,247.58,0.06394623575742099,-0.02034623575742099
8_F_across_2_Day_1_HT,8,CPC,F_across,D,Day_1,Neap,HT,113.12,0.98,0.0178,6e-05,0.09791,0.0915,360.70000000000005,0.05200495833331902,0.039495041666680976
8_F_across_2_Day_1_LT,8,CPC,F_across,D,Day_1,Neap,LT,113.12,0.92,-0.0209,6.6e-05,0.06987,0.0653,360.70000000000005,0.07000298350633216,-0.0047029835063321646
8_F_across_2_Day_2_HT,8,CPC,F_across,D,Day_2,Spring,HT,113.12,0.98,0.0192,6.4e-05,0.03863,0.0361,360.70000000000005,0.050772114425199126,-0.014672114425199126
8_F_across_2_Day_2_LT,8,CPC,F_across,D,Day_2,Spring,LT,113.12,0.92,-0.018,5.7e-05,0.02739,0.0256,360.70000000000005,0.11370560547041698,-0.08810560547041699
8_F_across_2_Day_3_HT,8,CPC,F_across,D,Day_3,Spring,HT,113.12,0.98,0.0196,6.6e-05,0.05607,0.0524,360.70000000000005,0.050772114425199126,0.001627885574800876
8_F_across_2_Day_3_LT,8,CPC,F_across,D,Day_3,Spring,LT,113.12,0.92,-0.018,5.7e-05,0.05093,0.0476,360.70000000000005,0.11370560547041698,-0.06610560547041698
8_G_2_Day_1_HT,8,CPC,G,F,Day_1,Neap,HT,34.86,0.63,0.0158,3.4e-05,0.07887,0.0717,395.56000000000006,0.030696640538611274,0.04100335946138872
8_G_2_Day_1_LT,8,CPC,G,F,Day_1,Neap,LT,34.86,0.59,-0.0134,2.7e-05,0.10846,0.0986,395.56000000000006,0.1331486659387195,-0.0345486659387195
8_G_2_Day_2_HT,8,CPC,G,F,Day_2,Spring,HT,34.86,0.63,0.0134,2.9e-05,0.09768,0.0888,395.56000000000006,0.13774639357482985,-0.04894639357482984
8_G_2_Day_2_LT,8,CPC,G,F,Day_2,Spring,LT,34.86,0.59,-0.0111,2.2e-05,0.05225,0.0475,395.56000000000006,0.07565726688783324,-0.028157266887833238
8_G_2_Day_3_HT,8,CPC,G,F,Day_3,Spring,HT,34.86,0.63,0.0124,2.7e-05,0.01155,0.0105,395.56000000000006,0.14920088238857004,-0.13870088238857003
8_G_2_Day_3_LT,8,CPC,G,F,Day_3,Spring,LT,34.86,0.59,-0.012,2.4e-05,0.09636,0.0876,395.56000000000006,0.1340197581490282,-0.0464197581490282
8_H_2_Day_1_HT,8,CPC,H,F_across,Day_1,Neap,HT,83.91,0.65,0.0114,2.5e-05,0.04087,0.0382,479.47,0.05371989260311216,-0.015519892603112165
8_H_2_Day_1_LT,8,CPC,H,F_across,Day_1,Neap,LT,83.91,0.57,-0.0104,2e-05,0.07265,0.0679,479.47,0.0466171970318199,0.021282802968180102
8_H_2_Day_2_HT,8,CPC,H,F_across,Day_2,Spring,HT,83.91,0.65,0.0125,2.8e-05,0.09245,0.0864,479.47,0.1194308611890873,-0.033030861189087296
8_H_2_Day_2_LT,8,CPC,H,F_across,Day_2,Spring,LT,83.91,0.57,-0.0106,2.1e-05,0.0596,0.0557,479.47,0.05312023688390523,0.0025797631160947715
8_H_2_Day_3_HT,8,CPC,H,F_across,Day_3,Spring,HT,83.91,0.65,0.0108,2.4e-05,0.04569,0.0427,479.47,0.05176802967785054,-0.009068029677850538
8_H_2_Day_3_LT,8,CPC,H,F_across,Day_3,Spring,LT,83.91,0.57,-0.0133,2.6e-05,0.0077,0.0072,479.47,0.10397982073866603,-0.09677982073866603
14_J_2_Day_1_HT,14,LC,J,I,Day_1,Neap,HT,62.89,1.09,0.0279,0.000104,0.09608,0.0915,62.89,0.04953872689995169,0.04196127310004831
14_J_2_Day_1_LT,14,LC,J,I,Day_1,Neap,LT,62.89,0.98,-0.0169,5.7e-05,0.03791,0.0361,62.89,0.02098902981565799,0.015110970184342012
14_J_2_Day_2_HT,14,LC,J,I,Day_2,Spring,HT,62.89,1.09,0.0214,8e-05,0.06279,0.0598,62.89,0.06878357310350351,-0.008983573103503513
14_J_2_Day_2_LT,14,LC,J,I,Day_2,Spring,LT,62.89,0.98,-0.0218,7.3e-05,0.03371,0.0321,62.89,0.0756551258422578,-0.0435551258422578
14_J_2_Day_3_HT,14,LC,J,I,Day_3,Spring,HT,62.89,1.09,0.0237,8.8e-05,0.01092,0.0104,62.89,0.04849317054887688,-0.03809317054887688
14_J_2_Day_3_LT,14,LC,J,I,Day_3,Spring,LT,62.89,0.98,-0.0185,6.2e-05,0.01092,0.0104,62.89,0.07968418025359984,-0.06928418025359984
14_K_2_Day_1_HT,14,LC,K,J,Day_1,Neap,HT,70.66,0.42,0.0075,1.1e-05,0.02352,0.0224,133.55,0.1106731584667298,-0.0882731584667298
14_K_2_Day_1_LT,14,LC,K,J,Day_1,Neap,LT,70.66,0.37,-0.0077,1e-05,0.05177,0.0493,133.55,0.09972581320026272,-0.05042581320026272
14_K_2_Day_2_HT,14,LC,K,J,Day_2,Spring,HT,70.66,0.42,0.0108,1.5e-05,0.10574,0.1007,133.55,0.08201152124916718,0.01868847875083282
14_K_2_Day_2_LT,14,LC,K,J,Day_2,Spring,LT,70.66,0.37,-0.009,1.1e-05,0.1008,0.096,133.55,0.10447122725556658,-0.00847122725556658
14_K_2_Day_3_HT,14,LC,K,J,Day_3,Spring,HT,70.66,0.42,0.0074,1.1e-05,0.05208,0.0496,133.55,0.1106731584667298,-0.0610731584667298
14_K_2_Day_3_LT,14,LC,K,J,Day_3,Spring,LT,70.66,0.37,-0.0069,9e-06,0.00221,0.0021,133.55,0.09972581320026272,-0.09762581320026271
15_J_2_Day_1_HT,15,LC,J,I,Day_1,Neap,HT,64.2,1.0,0.0227,7.8e-05,0.06027,0.0574,64.2,0.04704464861181225,0.010355351388187752
15_J_2_Day_1_LT,15,LC,J,I,Day_1,Neap,LT,64.2,0.93,-0.0238,7.6e-05,0.04515,0.043,64.2,0.0159311274374979,0.027068872562502098
15_J_2_Day_2_HT,15,LC,J,I,Day_2,Spring,HT,64.2,1.0,0.0244,8.3e-05,0.05177,0.0493,64.2,0.026775634836312772,0.022524365163687225
15_J_2_Day_2_LT,15,LC,J,I,Day_2,Spring,LT,64.2,0.93,-0.016,5.1e-05,0.05019,0.0478,64.2,0.01820395631556025,0.029596043684439754
15_J_2_Day_3_HT,15,LC,J,I,Day_3,Spring,HT,64.2,1.0,0.0172,5.9e-05,0.00651,0.0062,64.2,0.05513303016938222,-0.048933030169382226
15_J_2_Day_3_LT,15,LC,J,I,Day_3,Spring,LT,64.2,0.93,-0.0221,7e-05,0.09324,0.0888,64.2,0.032228436871732366,0.05657156312826764
15_K_2_Day_1_HT,15,LC,K,J,Day_1,Neap,HT,72.43,0.62,0.0132,2.8e-05,0.04022,0.0383,136.63,0.07660706523172069,-0.038307065231720686
15_K_2_Day_1_LT,15,LC,K,J,Day_1,Neap,LT,72.43,0.58,-0.0109,2.2e-05,0.05849,0.0557,136.63,0.04867689798903842,0.007023102010961582
15_K_2_Day_2_HT,15,LC,K,J,Day_2,Spring,HT,72.43,0.62,0.0151,3.2e-05,0.04022,0.0383,136.63,0.05771361880923541,-0.01941361880923541
15_K_2_Day_2_LT,15,LC,K,J,Day_2,Spring,LT,72.43,0.58,-0.0109,2.2e-05,0.02688,0.0256,136.63,0.04867689798903842,-0.023076897989038416
15_K_2_Day_3_HT,15,LC,K,J,Day_3,Spring,HT,72.43,0.62,0.0135,2.9e-05,0.04116,0.0392,136.63,0.06760549249118358,-0.028405492491183584
15_K_2_Day_3_LT,15,LC,K,J,Day_3,Spring,LT,72.43,0.58,-0.0126,2.5e-05,0.0357,0.034,136.63,0.05060560268349553,-0.016605602683495528
